fecha_scrape,fuente,fecha_publicacion,empresa,titulo_puesto,categoria,encaja_perfil,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-06-26,Tecnoempleo,04/03/2026,Sopra Steria,Programador/a Junior con Francés,WEB,Si,Sevilla,,,,,"Java, .NET",Medio/B2,https://www.tecnoempleo.com/programador-junior-con-frances-sopra-steria/java-net/rf-9d051e377235f3ce2242
2026-06-26,Tecnoempleo,27/02/2026,Michael Page,Calidad junior,WEB,Si,Zaragoza,,,,,calidad,Alto/C1,https://www.tecnoempleo.com/calidad-junior-michael-page/calidad/rf-d7601855129e730b414c
2026-06-26,Tecnoempleo,19/02/2026,Quental,Programador/a Junior SAS y/o R,WEB,Quizas,100% remoto,remoto,21000.0,24000.0,,"SAS, R",Medio/B2,https://www.tecnoempleo.com/programador-junior-sas-y-o-r-quental/sas/rf-7b9d1a6852e373ebe245
2026-06-26,Tecnoempleo,01/01/2024,Indra Sistemas,Desarrollo software junior,WEB,Si,Madrid,,,,Sin experiencia,"C++, C, Java",Medio/B2,https://www.tecnoempleo.com/desarrollo-software-junior-madrid/c-c-java/rf-1e191780c239e3477f44
2026-06-26,Tecnoempleo,03/03/2023,Sopra Steria,Programador/a Cobol Junior con Francés,WEB,Quizas,Valencia,,,,,cobol,Medio/B2,https://www.tecnoempleo.com/programador-cobol-junior-con-frances-valencia/cobol/rf-ced484d76i5f41d94b93
2026-06-26,Tecnoempleo,08/11/2022,Grupo SIA,Tecnico/a junior seguridad perimetral,WEB,Quizas,Asturias,,,,,"seguridad, TCP/IP",Medio/B2,https://www.tecnoempleo.com/tecnico-junior-seguridad-perimetral-asturias/seguridad-tcp-ip/rf-4bd41728728e038f144c
2026-06-26,Tecnoempleo,10/10/2018,Indra Sistemas,Junior Android,WEB,Quizas,Madrid,,,,,android,Medio/B2,https://www.tecnoempleo.com/junior-android-madrid/android/rf-2184804ecu754e9b94qf
2026-06-26,Tecnoempleo,26/06/2026,Digital Talent Agency,Programadores/as Java/Micro/AWS con Ingles,WEB,Quizas,100% remoto,remoto,,,2 años,"java, microservicios, aws",Alto/C1,https://www.tecnoempleo.com/programadores-java-micro-aws-con-ingles-digital-ta/microservicios-kubernet/rf-dd6a1a60a2b6a345d347
2026-06-26,Tecnoempleo,26/06/2026,Seltime,Programadores Java,WEB,Si,100% remoto,remoto,,,1-2 años,"Java, SpringBoot, Angular",Medio/B2,https://www.tecnoempleo.com/programadores-java-seltime/springboot-angular/rf-aa92113762d593926a4d
2026-06-26,Tecnoempleo,26/06/2026,Amazon,Software Development Engineer,WEB,Quizas,Madrid,,,,2 años,"Java, C++, C#",Medio/B2,https://www.tecnoempleo.com/software-development-engineer-amazon/java-c/rf-6de41171226d33ae0e40
