fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-09-02,2026-07-31,Control Risks,Full Stack Developer,WEB,España,no especificado,,,,react,requerido,https://www.adzuna.es/details/5822105559?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-18,Publicis Groupe Holdings B.V,Full-stack Developer,WEB,"Paracuellos de Jarama, Madrid",no especificado,,,,javascript,no especificado,https://www.adzuna.es/details/5805885148?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-06,Rodi Motor Services,Full Stack Developer,WEB,Lleida,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5830169288?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Airbus,CORE DIGITAL CAMPUS Full-Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/land/ad/5864619206?se=3FXfXaam8RG5LMEkIm3s4g&utm_medium=api&utm_source=4332c1fe&v=31B079D0B47DB4F73BF3DD3DD9B3A9B9319D78F3
2026-09-02,2026-08-01,Mercaconsult,Senior Full Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5823503117?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-22,Crit Interim España ETT,Full Stack Developer (web),WEB,Lleida,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5852352820?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-29,MVST,Full Stack Developer (Intermediate),WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5781090107?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-16,MVST,Full Stack Developer (Junior),WEB,España,no especificado,1500.0,1500.0,,no especificado,no especificado,https://www.adzuna.es/details/5801924518?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-05-01,Actual Talent,Senior Full-Stack Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5716162567?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-01,Nemon Intelligence in Business,Full Stack Developer PHP,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5823503104?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-05-14,Kapturall,Full Stack Developer - LAMP,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5728545613?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-13,Kodify,Senior Full-Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5839930576?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-05-13,InteractiveAI,Senior Full-Stack Developer,WEB,Madrid,no especificado,70000.0,90000.0,,no especificado,no especificado,https://www.adzuna.es/details/5727383404?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-31,Leadtech Group,Ai Full Stack Developer,WEB,Barcelona,no especificado,,,,typescript,no especificado,https://www.adzuna.es/details/5862523819?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-20,OGA,Senior Full Stack Developer,WEB,"Camas, Sevilla",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5849576052?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-31,OmniAccess,Senior Full Stack Developer,WEB,Islas Baleares,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5862524003?utm_medium=api&utm_source=4332c1fe
2026-09-02,2024-07-30,Henneo,Full stack developer .NetAngular,WEB,"Zaragoza, Aragón",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/4800595860?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-08-06,SlashMobility,Senior Full Stack Developer,WEB,"Barcelona, Cataluña",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5339790164?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-09-19,Talent-R,Full Stack Developer | Senior,WEB,España,hibrido,,,,react,no especificado,https://www.adzuna.es/details/5407075110?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-28,emineo.ch,Senior Full Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5779540565?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-30,Think Huge,Full Stack Developer - Hosting Industry,WEB,Valencia,remoto,,,,"javascript, python",no especificado,https://www.adzuna.es/details/5861530006?utm_medium=api&utm_source=4332c1fe
