fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-07-01,2025-08-23,Yuvod,Full Stack Developer,WEB,Valencia,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5365283424?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-02-12,Satellogic,Full-Stack Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5626700846?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-07-09,CGI,Full Stack Developer,WEB,Barcelona,no especificado,,,,"javascript, react, aws",requerido,https://www.adzuna.es/details/5292652208?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-06,RepreX,Full Stack Developer,WEB,España,no especificado,,,,react,no especificado,https://www.adzuna.es/details/5691044719?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-30,GRUPO DATCON,Full-Stack Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5782445896?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-29,SGS,.NET Full Stack Developer,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5781277633?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-01,leadtech,MarTech Full Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5685606222?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-04,zentra,Junior Full Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5718414223?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-01,Actual Talent,Senior Full-Stack Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5716162567?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-14,Kapturall,Full Stack Developer - LAMP,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5728545613?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-13,InteractiveAI,Senior Full-Stack Developer,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5727383404?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-10,Kodify,Senior Full-Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5758140847?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-11,SGS,.NET Full Stack Developer,WEB,"Paracuellos de Jarama, Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5725596093?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-20,EPTA,Senior Full Stack Developer,WEB,España,no especificado,,,,aws,no especificado,https://www.adzuna.es/details/5704804651?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-20,Brico Depôt,Backend / Full Stack Developer,WEB,"El Prat de Llobregat, Barcelona",hibrido,,,,no especificado,no especificado,https://www.adzuna.es/details/5704985456?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-08-06,SlashMobility,Senior Full Stack Developer,WEB,"Barcelona, Cataluña",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5339790164?utm_medium=api&utm_source=4332c1fe
2026-07-01,2024-07-30,Henneo,Full stack developer .NetAngular,WEB,"Zaragoza, Aragón",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/4800595860?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-18,Brico Depôt,Backend / Full Stack Developer,WEB,"El Prat de Llobregat, Barcelona",hibrido,,,,no especificado,no especificado,https://www.adzuna.es/details/5732893231?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-30,GRUPO DATCON,Full-Stack Developer (Remoto),WEB,Valladolid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5782442428?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-24,PSI CRO,Full-stack Developer (AI Solutions),WEB,Madrid,no especificado,,,,"react, python",no especificado,https://www.adzuna.es/details/5774447135?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-22,pubGENIUS,Full-Stack Developer (Backend-Focused),WEB,Madrid,no especificado,,,,"react, react, typescript, aws, typescript",no especificado,https://www.adzuna.es/details/5772452604?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-27,Ticket Merchant,Full-Stack Developer (React.Js ,WEB,Valladolid,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5779364954?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-29,Ticket Merchant,Full-Stack Developer (React.Js ,WEB,"Chantada, Lugo",remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5781413313?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-29,Ticket Merchant,Full-Stack Developer (React.Js ,WEB,Valencia,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5781414796?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-03-18,Daon Inc,Technical Consultant - Full Stack Developer,WEB,España,remoto,,,,no especificado,b2,https://www.adzuna.es/details/5671245519?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-06,Kyndryl,Full Stack Developer (AI Solutions),WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5754050600?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-02,DDB Spain,Frontend Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5716640299?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-07-01,STANDBY Consultores,Frontend Developer,WEB,Barcelona,no especificado,,,,react,no especificado,https://www.adzuna.es/details/5278395061?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-14,Napptilus Tech Labs,FrontEnd Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5699405415?utm_medium=api&utm_source=4332c1fe
2026-07-01,2024-10-06,SlashMobility,Frontend Developer,WEB,"Madrid, Comunidad de Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/4891161961?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-30,SQLI,Senior Frontend Developer,WEB,Valencia,no especificado,,,,"react, react, typescript",no especificado,https://www.adzuna.es/details/5782345831?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-19,Winning,SR Frontend Developer,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5769636258?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-12,Experis España,Senior Frontend Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5727059750?utm_medium=api&utm_source=4332c1fe
2026-07-01,2024-07-30,Henneo,Frontend Developer - Angular,WEB,"Zaragoza, Aragón",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/4800598659?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-20,Izertis,Frontend Developer (React),WEB,España,hibrido,,,,react,no especificado,https://www.adzuna.es/details/5770310276?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-22,Experis España,Senior Frontend Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5772791506?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-20,Grupo NS,AI Frontend Developer (React),WEB,España,hibrido,,,,"react, typescript",no especificado,https://www.adzuna.es/details/5704985469?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-08,ADLANTER,FRONTEND DEVELOPER (E‑commerce),WEB,"Barcelona, Cataluña",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5722205784?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-12-22,eDreams ODIGEO,Frontend Developer – Convert (Hybrid),WEB,Barcelona,hibrido,,,,no especificado,no especificado,https://www.adzuna.es/details/5551980840?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-11-11,UDG Ludwigsburg,Lead Frontend Developer (all genders),WEB,España,no especificado,,,,no especificado,b2,https://www.adzuna.es/details/5490833844?utm_medium=api&utm_source=4332c1fe
